"name";"group";"egrpou";"inn"
"ВАТ &#34;Нафтохимик- Прикарпаття&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00000001;001522309091
"Виробниче управління водопровідно-каналізаційного господарства міста Херсона&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";03355726;033557221037
"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;НАФТОПЕРЕРОБНИЙ КОМПЛЕКС-ГАЛИЧИНА&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00000001;001523813099
"Відкрите акціонерне товариство &#34;Полтавський гірничо-збагачувальний комбінат&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191282;001912816023
"ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ &#34;ЛАДИЖИНСЬКА ТЕПЛОВА ЕЛЕКТРОСТАНЦІЯ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";05470928;000000000001
"ВІДОКРЕМЛЕНИЙ ПІДРОЗДІЛ &#34;ЛАДИЖИНСЬКА ТЕПЛОВА ЕЛЕКТРИЧНА СТАНЦІЯ&#34; ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА";"7036ff20-d283-11e6-9cca-3f6676d6a14c";23269555;000000000001
"ВП &#34;ПРИДНІПРОВСЬКА ТЕПЛОВА ЕЛЕКТРИЧНА СТАНЦІЯ&#34; ПАТ &#34;ДТЕК ДНІПРОЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00130872;001308708243
"ВП &#34;Автоматика та машинобудування&#34; ДП &#34;НАЕК &#34;Енергоатом&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ВП &#34;ЛАДИЖИНСЬКА ТЕПЛОВА ЕЛЕКТРИЧНА СТАНЦІЯ&#34; ПАТ &#34;ДТЕК ЗАХІДЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";05470928;000000000001
"ВП &#34;Рівненська АЕС&#34; ДП &#34;НАЕК  &#34;Енергоатом&#34;";"523ebe70-f391-11e6-8f0d-03f7efe17fb1";36217282;245846626653
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;ДЗЕРЖИНСЬКВУГІЛЛЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";33839013;338390105058
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;ДОНЕЦЬКА ВУГІЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";33161769;331617605090
"Державне підприємство &#34;Запорізький титано-магнієвий комбінат&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00194731;001947308241
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;ЛУТУГИНСЬКИЙ НАУКОВО-ВИРОБНИЧИЙ ВАЛКОВИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00187369;001873612012
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;МІЖНАРОДНИЙ АЕРОПОРТ&#34; БОРИСПІЛЬ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;205720610044
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;НАЕК &#34;ЕНЕРГОАТОМ&#34;";"523ebe70-f391-11e6-8f0d-03f7efe17fb1";26444970;245846626653
"Державне підприємство &#34;Орджонікідзевугілля&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";32276912;322769105115
"ДЕРЖАВНЕ ПІДПРИЄМСТВО &#34;РЕГІОНАЛЬНІ ЄЕЛЕКТРИЧНІ МЕРЕЖІ&#34; ЛУГАНСЬКА ФІЛІЯ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";26447684;324028710363
"Державне підприємство “Коростишівське лісове господарство”";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00991858;009918506100
"Державне підприємство &#34;Адміністрація морських портів України&#34;/Одеська філія Державного підприємства";"174356d0-f393-11e6-8f0d-03f7efe17fb1";38728457;000000000001
"ДЕРЖАВНЕ ПІДПРИЄМСТВО ЗАВОД &#34;ЕЛЕКТРОВАЖМАШ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00213121;002131220393
"ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ВИРОБНИЧИЙ КОМПЛЕКС &#34;АВТОМАТИКА ТА МАШИНОБУДУВАННЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";36004020;360040204041
"ДНІПРОАЗОТ";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";05761620;057616204034
"ДНІПРОВСЬЕ БАСЕЙНОВЕ УПРАВЛІННЯ  ВОДНИХ РЕСУРСІВ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";04389466;000000000001
"ДОБРОТВІРСЬКА ТЕС";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00131618;000000000001
"ДОЧІРНЕ ПІДПРИЄМСТВО &#34;СІМЕНС УКРАЇНА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";24940089;249400826650
"Дочірня компанія &#34;Укргазвидобудування&#34; Національної акціонерної компанії &#34;Нафтогаз  України&#34; Укргазп";"174356d0-f393-11e6-8f0d-03f7efe17fb1";21236681;300197726657
"ДП &#34;АРТЕМВУГІЛЛЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";32270533;322705305715
"ДП &#34;НЕК &#34;Укренерго&#34; Донбаська ЕС";"174356d0-f393-11e6-8f0d-03f7efe17fb1";23344104;001002226654
"ДСП &#34;Чорнобильска АЕС&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";14310862;000000000001
"ЄНАКІЄВСЬКИЙ МЕТАЛУРГІЙНИЙ ЗАВОД";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191193;001911905110
"ІНГУЛЕЦЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"6734a170-d283-11e6-9cca-3f6676d6a14c";00190905;001909004051
"Комунальне підприємство &#34;Департамент екобезпеки, природокористування та енергозбереження&#34; Дніпропетр";"174356d0-f393-11e6-8f0d-03f7efe17fb1";34315921;000000000001
"Комунальний заклад  „База спеціального медичного постачання” Дніпропетровської обласної ради”";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"Курахівська ТЕС";"7036ff20-d283-11e6-9cca-3f6676d6a14c";26160824;000000000001
"КУРАХІВСЬКА ЦОФ";"7036ff20-d283-11e6-9cca-3f6676d6a14c";33959754;339597505212
"Луганська ТЕС";"7036ff20-d283-11e6-9cca-3f6676d6a14c";31831942;318319405097
"Мале приватне підприємство &#34;Норма&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";20163218;201632112343
"МАРГАНЕЦЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00190911;001909104062
"МИКОЛАЇВСЬКА ФІЛІЯ ДЕРЖАВНОГО ПІДПРИЄМСТВА &#34;АДМІНІСТРАЦІЯ МОРСЬКИХ ПОРТІВ УКРАЇНИ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО &#34;ЕЛЕКТРОДИНАМІКА &#34; У ФОРМІ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";31633409;316334020312
"НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО &#34;ФЕРОЛІТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";31103705;311037016028
"Нікопольский ремонтний завод ЗАТ";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";03377093;311670604075
"Норма МПП";"174356d0-f393-11e6-8f0d-03f7efe17fb1";20163218;000000000001
"ОАО &#34;ДМЗ им. Петровского&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;053930504026
"ОАО ЭМСС";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;002106005156
"ОМТС ПАТ &#34;АРМАПРОМ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ООО &#34;Новомосковская посуда&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";00000001;339058504082
"ПАВЛОГРАДВУГІЛЛЯ";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00178353;001783504102
"ПАО &#34;Укртатнафта&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;001523016039
"ПАО &#34;Сумское НПО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";05747991;000000000001
"ПАТ &#34;ДОНБАСЕНЕРГО&#34;  СО ПАТ &#34;ДОНБАСЕНЕРГО&#34; СЛОВ`ЯНСЬКА ТЕС";"174356d0-f393-11e6-8f0d-03f7efe17fb1";23343582;233435805036
"ПАТ &#34;ДТЕК ДНІПРООБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";23359034;233590304026
"ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00131268;001312605035
"ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34; / ВП &#34;МИРОНІВСЬКА ТЕС&#34;  ПАТ &#34;ДТЕК ДОНЕЦЬКОБЛЕНЕРГО&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";05470978;001312605035
"ПАТ &#34;ДТЕК ПЕМ - ЕНЕРГОВУГІЛЛЯ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00169845;001698405092
"ПАТ &#34;КРИВБАСЗАЛІЗРУДКОМ&#34; ДРУГОЙ ПОКУПАТЕЛЬ!!!!";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191307;000000000001
"ПАТ &#34;МК &#34;АЗОВСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПАТ &#34;МК &#34;АЗОСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПАТ &#34;НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ІНСТИТУТ МАШИНОБУДУВАННЯ З ДОСЛІДНИМ ЗАВОДОМ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";04819211;048192104050
"ПАТ &#34;ОРДЖОНІКІДЗЕВСЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6be3f8b0-d283-11e6-9cca-3f6676d6a14c";00190928;000000000001
"ПАТ &#34;УКРТАТНАФТА&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00152307;000000000001
"ПАТ &#34;Центренерго&#34; Вуглегірська ТЕС / ПАТ &#34;Центренерго&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"ПАТ &#34;ЦЕНТРЕНЕРГО&#34;/ ВУГЛЕГІРСЬКА ТЕС  ПАТ &#34;ЦЕНТРЕНЕРГО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";22927045;229270426656
"ПІБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНТЕРПАЙП НИЖНЬОДНІПРОВСЬКИЙ ТРУБОПРОКАТНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393116;053931104023
"ПІБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ІНТЕРПАЙП НОВОМОСКОВСЬКИЙ ТРУБОПРОКАТНИЙ ЗАВОД&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";05393139;053931304086
"ПІВДЕННИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191000;001910004055
"ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191023;001910204051
"Покупатели";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;000000000001
"ПРАТ &#34;МК &#34;АЗОВСТАЛЬ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191158;001911505191
"ПрАТ &#34;Нікопольський ремонтний завод&#34;";"597f47e0-f391-11e6-8f0d-03f7efe17fb1";31167067;000000000001
"ПРИВАТНЕ  АКЦІОНЕРНЕ ТОВАРИСТВО &#34;АВДІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191075;001910705019
"ПРИВАТНЕ  АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КОМСОМОЛЬСЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191827;001918205428
"ПРИВАТНЕ  ПІДПРИЄМСТВО  &#34;ХАРКІВ-ЕЛЕКТРО&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;346543625267
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34; ПНЕВМАТИКА &#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00000001;002238001290
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ДТЕК ПАВЛОГРАДВУГІЛЛЯ&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00178353;001783504102
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄНАКІЄВСЬКИЙ КОКСОХІМПРОМ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";31272173;312721705118
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЄНАКІЄВСЬКИЙ МЕТАЛУРГІЙНИЙ ЗАВОД&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00000001;000000000001
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КОМСОМОЛЬСЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191827;001918205428
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;КРИВОРІЗЬКИЙ ЗАВОД ГІРНИЧОГО ОБЛАДНАННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";31550176;315501704052
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЛИСИЧАНСЬКА НАФТОВА ІНВЕСТИЦІЙНА КОМПАНІЯ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";32292929;322929212017
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;МАРІУПОЛЬСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ ІМЕНІ ІЛЛІЧА&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";01911129;001911205195
"Приватне акціонерне товариство &#34;Науково-виробнича фірма &#34;СЕНСОР&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";23326299;000000000001
"Приватне акціонерне товариство &#34;Новотроіцьке рудоуправління&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191810;001918105333
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;НОВОТРОЇЦЬКЕ РУДОУПРАВЛІННЯ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00191810;001918105333
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ПІВНІЧНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";00191023;001910204051
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ТОВКАЧІВСЬКИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";01056244;010562406169
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА &#34;КОЛОСНИКІВСЬКА&#34;";"7036ff20-d283-11e6-9cca-3f6676d6a14c";00176584;001765805187
"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО &#34;ЦЕНТРАЛЬНИЙ ГІРНИЧО-ЗБАГАЧУВАЛЬНИЙ КОМБІНАТ&#34;";"6734a170-d283-11e6-9cca-3f6676d6a14c";00190977;001909704059
"Приватне акціонерне товариство &#34;Чернігівський механічний завод&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";03576858;035768525266
"ПРИВАТНЕ ПІДПРИЄМСТВО &#34;ЕЛЕКТРО-ЛІК&#34;";"174356d0-f393-11e6-8f0d-03f7efe17fb1";33549822;335498226573
